"stud_ID","gender","cluster1","cluster2","cluster3","cluster4","cluster5","cluster6","cluster7"
"SCF081893","Female",0.428571428571429,0.142857142857143,0,0.0714285714285714,0.285714285714286,0,0.0714285714285714
"SGH080694","Male",0.15,0.25,0,0.15,0.1,0.25,0.1
"SJR041492","Female",0.0555555555555556,0.722222222222222,0.0555555555555556,0,0.111111111111111,0.0555555555555556,0
"SKV060493","Female",0.235294117647059,0.294117647058824,0,0.176470588235294,0,0.235294117647059,0.0588235294117647
"SLH090991","Female",0.235294117647059,0.117647058823529,0.117647058823529,0.117647058823529,0.0588235294117647,0.235294117647059,0.117647058823529
"SMB112191","Male",0.105263157894737,0.157894736842105,0.157894736842105,0.157894736842105,0.0526315789473684,0.368421052631579,0
"SMN110191","Female",0,0,0.555555555555556,0,0.333333333333333,0,0.111111111111111
"SMW100891","Male",0.777777777777778,0,0,0.111111111111111,0,0.0555555555555556,0.0555555555555556
"SNL051892","Female",0.222222222222222,0,0,0.722222222222222,0,0.0555555555555556,0
"SNQ091892","Female",0,0,0,1,0,0,0
"SOJ081292","Male",0.25,0.2,0,0.05,0.05,0.35,0.1
"SPY101793","Female",0.35,0.05,0.1,0.2,0.1,0.05,0.15
"SSR072394","Female",0.25,0,0,0.75,0,0,0
"SSW051992","Female",0,0.388888888888889,0.222222222222222,0.111111111111111,0.111111111111111,0.0555555555555556,0.111111111111111
"SXB120793","Female",0.0526315789473684,0.0526315789473684,0,0.105263157894737,0,0.0526315789473684,0.736842105263158
"SXL030792","Female",0.3125,0.1875,0.0625,0.25,0.0625,0.0625,0.0625
"SYP092693","Female",0,0.15,0.25,0,0.35,0.25,0
"TAC071392","Female",0.125,0.25,0,0.25,0,0.375,0
"TAW101393","Female",0.2,0.1,0,0,0.1,0.55,0.05
"TJK080893","Male",0.25,0,0,0.5,0,0.15,0.1
"TLI010893","Female",0.111111111111111,0,0,0.388888888888889,0.111111111111111,0.0555555555555556,0.333333333333333
"TLS031390","Female",0,0.1,0,0,0.75,0.05,0.1
"TMV030392","Female",0,0.285714285714286,0.142857142857143,0,0.285714285714286,0.285714285714286,0
"TNB060394","Female",0.25,0.05,0,0.55,0,0.1,0.05
"TRB010892","Male",0,0.166666666666667,0.277777777777778,0,0.555555555555556,0,0
"VRG113091","Female",0,0,0.333333333333333,0.166666666666667,0,0,0.5
"VXA071792","Male",0.15,0,0,0.35,0.05,0.4,0.05
"VXC021793","Female",0.1,0.15,0.15,0.1,0.05,0.1,0.35
"VXV050293","Female",0,0.277777777777778,0.277777777777778,0,0.277777777777778,0.166666666666667,0
"WJZ101790","Male",0.25,0.5,0,0.25,0,0,0
"WVC062692","Male",0.157894736842105,0,0,0.0526315789473684,0.368421052631579,0.105263157894737,0.315789473684211
"WXM081994","Male",0,0.222222222222222,0.444444444444444,0,0.222222222222222,0,0.111111111111111
"XXR092793","Male",0,0.111111111111111,0.555555555555556,0.0555555555555556,0.277777777777778,0,0
"YEC041794","Female",0.111111111111111,0.277777777777778,0,0,0.111111111111111,0.388888888888889,0.111111111111111
"YKB020594","Female",0.1,0.1,0.05,0.15,0.1,0.35,0.15
"YSR101093","Male",0.0769230769230769,0.0769230769230769,0.461538461538462,0.0769230769230769,0.230769230769231,0,0.0769230769230769
"ZIR112291","Female",0.35,0.05,0.05,0.1,0.1,0.15,0.2
